task,origin,model,segment,metric,value,n
B minutes|played,O3 valid=2025-02,ridge,star (>=30),MAE,4.078605672655379,979
B minutes|played,O3 valid=2025-02,ridge,starter (20-30),MAE,4.890443128712003,1308
B minutes|played,O3 valid=2025-02,ridge,bench (10-20),MAE,5.7010392112367425,1034
B minutes|played,O3 valid=2025-02,ridge,fringe (<10),MAE,4.8931421723751845,411
B minutes|played,O3 valid=2025-02,ridge,unknown (no history),MAE,9.023607337318149,7
B minutes|played,O3 valid=2025-02,LightGBM,ALL,MAE,4.867812300708816,3739
B minutes|played,O3 valid=2025-02,LightGBM,star (>=30),MAE,4.031051008973098,979
B minutes|played,O3 valid=2025-02,LightGBM,starter (20-30),MAE,4.845695807127953,1308
B minutes|played,O3 valid=2025-02,LightGBM,bench (10-20),MAE,5.690339535133739,1034
B minutes|played,O3 valid=2025-02,LightGBM,fringe (<10),MAE,4.825478873674496,411
B minutes|played,O3 valid=2025-02,LightGBM,unknown (no history),MAE,7.01403463339022,7
C1 pts|played,O3 valid=2025-02,baseline: expanding season mean,ALL,MAE,4.731865000469837,3739
C1 pts|played,O3 valid=2025-02,baseline: expanding season mean,star (>=30),MAE,6.115184863417119,979
C1 pts|played,O3 valid=2025-02,baseline: expanding season mean,starter (20-30),MAE,4.809344893038728,1308
C1 pts|played,O3 valid=2025-02,baseline: expanding season mean,bench (10-20),MAE,4.019076946885084,1034
C1 pts|played,O3 valid=2025-02,baseline: expanding season mean,fringe (<10),MAE,2.9231076105619223,411
C1 pts|played,O3 valid=2025-02,baseline: expanding season mean,unknown (no history),MAE,8.275906336654,7
C1 pts|played,O3 valid=2025-02,baseline: EWMA (halflife 5),ALL,MAE,4.687562362334617,3739
C1 pts|played,O3 valid=2025-02,baseline: EWMA (halflife 5),star (>=30),MAE,6.172910597689131,979
C1 pts|played,O3 valid=2025-02,baseline: EWMA (halflife 5),starter (20-30),MAE,4.776182763645844,1308
C1 pts|played,O3 valid=2025-02,baseline: EWMA (halflife 5),bench (10-20),MAE,3.9354030143568264,1034
C1 pts|played,O3 valid=2025-02,baseline: EWMA (halflife 5),fringe (<10),MAE,2.698615770270505,411
C1 pts|played,O3 valid=2025-02,baseline: EWMA (halflife 5),unknown (no history),MAE,8.275906336654,7
C1 pts|played,O3 valid=2025-02,ridge,ALL,MAE,4.612924067024783,3739
